Protein,Order,SampleName,LabRep,LabBlock,MaltPlant,MaltRep,MaltTime,malttime,abundance,abundance.sc,abundance.scOut
HORVU1Hr1G055860.3,3,aBP11,2,1,2,1,133.5,133.5,27410.33169,27.41033169,27.41033169
HORVU1Hr1G056570.3,3,aBP11,2,1,2,1,133.5,133.5,29056.85905,29.05685905,29.05685905
HORVU1Hr1G057680.6,3,aBP11,2,1,2,1,133.5,133.5,19001.73549,19.00173549,19.00173549
HORVU1Hr1G057970.2,3,aBP11,2,1,2,1,133.5,133.5,21915.76853,21.91576853,21.91576853
HORVU1Hr1G059870.4,3,aBP11,2,1,2,1,133.5,133.5,8405.727215,8.405727215,8.405727215
HORVU1Hr1G059900.1,3,aBP11,2,1,2,1,133.5,133.5,2821.38934,2.82138934,2.82138934
HORVU1Hr1G059920.3,3,aBP11,2,1,2,1,133.5,133.5,803.042644,0.803042644,0.803042644
HORVU1Hr1G059960.2,3,aBP11,2,1,2,1,133.5,133.5,27911.78809,27.91178809,27.91178809
HORVU1Hr1G059970.2,3,aBP11,2,1,2,1,133.5,133.5,3812.295762,3.812295762,3.812295762
HORVU1Hr1G061160.8,3,aBP11,2,1,2,1,133.5,133.5,121221.67,121.22167,121.22167
HORVU1Hr1G062900.2,3,aBP11,2,1,2,1,133.5,133.5,8457.970549,8.457970549,8.457970549
HORVU1Hr1G064210.3,3,aBP11,2,1,2,1,133.5,133.5,43766.91967,43.76691967,43.76691967
HORVU1Hr1G065150.1,3,aBP11,2,1,2,1,133.5,133.5,22633.16457,22.63316457,22.63316457
HORVU1Hr1G065620.7,3,aBP11,2,1,2,1,133.5,133.5,4782.621159,4.782621159,4.782621159
HORVU1Hr1G065670.1,3,aBP11,2,1,2,1,133.5,133.5,21358.06371,21.35806371,21.35806371
HORVU1Hr1G066650.18,3,aBP11,2,1,2,1,133.5,133.5,208656.9906,208.6569906,208.6569906
HORVU1Hr1G066650.8,3,aBP11,2,1,2,1,133.5,133.5,13341.35789,13.34135789,13.34135789
HORVU1Hr1G068170.3,3,aBP11,2,1,2,1,133.5,133.5,28115.873,28.115873,28.115873
HORVU1Hr1G070310.14,3,aBP11,2,1,2,1,133.5,133.5,94211.68674,94.21168674,94.21168674
